Song Title,Movie/Album,Composer,Language,Lyrics
Kannamoochchi,Kandukondain Kandukondain,A.R. Rahman,Tamil (English Script),"Khannamuchi anada
Khannamuchi anada en kanna

Khannamuchi anada en kanna
Naan khannadip porul polada
Khannamuchi anada en kanna
Naan khannadip porul polada

Andha nadiin karaiys naan gatten
Andak kaurai niruty gatten
Andha nadiin karaiys naan gatten
Andak kaurai niruty gatten

Vaan velys gatten vitaiye illai
Vaan velys gatten vitaiye illai
Irutiil unneck kandaen
Irudaib poovil kandaen
Irutiil unneck kandaen
Irudaib poovil kandaen

Khannamuchi anada en kanna
Naan khannadip porul polada

En manam unakkoru vilyaddu bommaiya
En manam unakkoru vilyaddu bommaiya
Enakkena unarchills taniyak illaiya
Nencin alai urangadhu

Un idhazh kondu wai mutt vaa en kanna
Un idhazh kondu wai mutt vaa en kanna
Un imai kondu vizhi mutt vaa
Un udaltan en udyallava

Bharkatlil adieya pinnum
Un vannam maghavilly innum
Bharkatlil adieya pinnum
Un vannam maghavilly innum
En nenjil gootie nilem maghava
Yennueril ni vandhu cherk udadues iramay vatak
Kalandit vaa

Khannamuchi anada en kanna
Naan khannadip porul polada

Vanmani villumbodhu malakondu katthai
Vanmani villumbodhu malakondu katthai
Ganmanai villumbodhu edlenneck kaffai
Poowin khannirai rasipai

Naan enna pannillaiya en kanna
Adhai nee kanak khannillaiya
Un ganavugalil nanillaiya

Dinam uchaladuten manasu
Ada umaiyall en kolusu
En ul moocchile uyir vingude
Yennuir tujhikamale kappadu un dindale
Uyir thara vaa

Khannamuchi anada en kanna
Naan khannadip porul polada"
Kandukondain Kandukondian,Kandukondain Kandukondain,A.R. Rahman,Tamil (English Script),"kaNdukoNdaen kaNdukoNdaen kaadhal mugam kaNdukoNdaen

kaNdukoNdaen kaNdukoNdaen kaadhal mugam kaNdukoNdaen
viral thodum dhooraththilae veNNilavu kandukondaen
veNNilaa veLichcham kiNNaththil vizhundhu niRaindhaal vazhindhaal magizhchchi
veNNilaa veLichcham kiNNaththai udaiththaal uyirai udaippaaL oruththi
en kaN paarththadhu en kai saerumoa
kai saeraamalae kaNNeer saerumoa
kaNdukoNdaen kaNdukoNdaen kaadhal mugam kaNdukoNdaen

malarmanjam vizhi kenjum manam anjumallavaa
uyir minjum ivaL nenjam un thanjamallavaa
un thanimaik kadhavin thaaL neekkavaa
kaNdukoNdaen kaNdukoNdaen kaadhal mugam kaNdukoNdaen

maegam thiRandhaal adhaRkuL un mugam paarkkiRaen
pookkaL thiRandhaal adhaRkuL un kural kaetkiRaen
kaNgaLaith thiRandhun kanavugaL vaLarkkum
kaadhalin viralgaL kallaiyum thiRakkum
unnaith thaediyae ini enadhu payaNamoa
endhan saalaigaL un veettil mudiyumoa
ae kanavu mangaiyae unadhu manadhu enadhu manadhil iNaiyumoa
kaNdukoNdaen kaNdukoNdaen kaadhal mugam kaNdukoNdaen
viral thodum dhooraththilae veNNilavu kandukondaen

aa...
nadhiyin thaedal kadaisiyil kadal kaaNbadhu
uyirin thaedal kadaisiyil unaikkaaNbadhu
kadal konda nadhiyoa mugam thanai izhakkum
naan unnil kalandhaal pudhu mugam kidaikkum
natchaththirangaLai oru naaril kattuvaen
endha naeramum un kadhavu thattuvaen
ae kaadhal dhaevanae enadhu imaiyil unadhu vizhigaL mooduvaen
kaNdukoNdaen kaNdukoNdaen... kaNdukoNdaen kaNdukoNdaen
kaadhal mugam kaNdukoNdaen... kaadhal mugam kaNdukoNdaen
viral thodum dhooraththilae... viral thodum dhooraththilae
veNNilavu kandukondaen... kaNdukoNdaen kaNdukoNdaen... kaadhal mugam kaNdukondaen"
kannamoochchi yaenada,Kandukondain Kandukondain,A.R. Rahman,Tamil (English Script),"Khannamuchi anada
Khannamuchi anada en kanna

Khannamuchi anada en kanna
Naan khannadip porul polada
Khannamuchi anada en kanna
Naan khannadip porul polada

Andha nadiin karaiys naan gatten
Andak kaurai niruty gatten
Andha nadiin karaiys naan gatten
Andak kaurai niruty gatten

Vaan velys gatten vitaiye illai
Vaan velys gatten vitaiye illai
Irutiil unneck kandaen
Irudaib poovil kandaen
Irutiil unneck kandaen
Irudaib poovil kandaen

Khannamuchi anada en kanna
Naan khannadip porul polada

En manam unakkoru vilyaddu bommaiya
En manam unakkoru vilyaddu bommaiya
Enakkena unarchills taniyak illaiya
Nencin alai urangadhu

Un idhazh kondu wai mutt vaa en kanna
Un idhazh kondu wai mutt vaa en kanna
Un imai kondu vizhi mutt vaa
Un udaltan en udyallava

Bharkatlil adieya pinnum
Un vannam maghavilly innum
Bharkatlil adieya pinnum
Un vannam maghavilly innum
En nenjil gootie nilem maghava
Yennueril ni vandhu cherk udadues iramay vatak
Kalandit vaa

Khannamuchi anada en kanna
Naan khannadip porul polada

Vanmani villumbodhu malakondu katthai
Vanmani villumbodhu malakondu katthai
Ganmanai villumbodhu edlenneck kaffai
Poowin khannirai rasipai

Naan enna pannillaiya en kanna
Adhai nee kanak khannillaiya
Un ganavugalil nanillaiya

Dinam uchaladuten manasu
Ada umaiyall en kolusu
En ul moocchile uyir vingude
Yennuir tujhikamale kappadu un dindale
Uyir thara vaa

Khannamuchi anada en kanna
Naan khannadip porul polada"
Yenna Solla Pogirai,Kandukondain Kandukondain,A.R. Rahman,Tamil (English Script),"Illai illai solla oru kanam podhum
Illai endra chollai thaanguvadhendraal
Innum innum enakkor jenmam vendum
Enna sollab pogiraai

Chandanat thendralai jannalgal thanditthal nyayama nyayama
Kaadhalin kelvikku kangalin badhil enna
Mounama mounama
Anbe endhan kaadhal solla nodi ondru podhume
Adhai naanum meippikkatthaane oru aayul vendume
Illai illai solla oru kanam podhum
Illai endra chollai thaanguvadhendraal
Innum innum enakkor jenmam vendum
Enna sollab pogiraai
Enna sollab pogiraai
Chandanat thendralai jannalgal thanditthal nyayama nyayama
Kaadhalin kelvikku kangalin badhil enna
Mounama mounama
Anbe endhan kaadhal solla nodi ondru podhume
Adhai naanum meippikkatthaane oru aayul vendume
Illai illai solla oru kanam podhum
Illai endra chollai thaanguvadhendraal
Innum innum enakkor jenmam vendum
Enna sollab pogiraai
Enna sollab pogiraai

Idhayam oru kannaadi unadhu bimbam vizhundhadhadi
Idhudhaan un sondham idhayam sonnadhadi
Kannaadi bimbam katta kayir ondrum illayadi
Kannaadi oonjal bimbam aaduthadi
Nee ondru solladi pennae
Illai nindru kolladi kanne
Endhan vaazhkaiye undhan vizhi vilimbil
Ennait thuratthadhe uyir karaiyeraadhe
Illai illai solla oru kanam podhum
Illai endra chollai thaanguvadhendraal
Innum innum enakkor jenmam vendum
Enna sollab pogiraai
Enna sollab pogiraai
Chandanat thendralai jannalgal thanditthal nyayama nyayama
Kaadhalin kelvikku kangalin badhil enna
Mounama mounama

Vidiyal vandha pinnaalum vidiyaadha iravu edhu
Poovaasam veesum undhan koondhaladi
Ivvulagam irunda pinnum irulaadha paagham edhu
Kadhir vandhu paayum undhan kangaladi
Pala ulaga azhagigal koodi un paadham kazhuvalaam vaadi
En thalir malare innum thayakkamenna
Ennaip puriyaadhaa idhu vaazhvaa saavaa
Enna sollab pogiraai
Enna sollab pogiraai
Enna sollab pogiraai
Enna sollab pogiraai
Nyayama nyayama
Enna sollab pogiraai
Enna sollab pogiraai
Mounama mounama
Enna sollab pogiraai"
Chuttum Vizhi,Kandukondain Kandukondain,A.R. Rahman,Tamil (English Script),"Suttum vizhichchudardhaan
Kannammaa sooriya chandhiraroa
Vattak kariyavizhi kannammaa
Vaanak karumai kolloa

Pattuk karuneelap pudavai
Padhiththa nal vayiram
Nattanadu nisiyil theriyum
Natchaththirangaladi

Soalai malar oliyoa unadhu
Sundharap punnagaidhaan
Neelak kadalalaiyae
Unadhu nenjin alaigaladi

Koalak kuyiloasai unadhu
Kuralin inimaiyadi
Vaalaik kumariyadi kannammaa
Maruvak kaadhal kondaen

Saaththiram paesugiraay
Kannamaa saaththiram aedhukkadi
Aaththiram kondavarkkae
Kannamaa saaththiram undoadi

Mooththavar sammadhiyil
Vadhuvai muraigal pinbu seyvoam
Kaaththiruppaenoadi idhu paar
Kannaththu muththam onru"
Kannamoochchi Yaenada,Kandukondain Kandukondain,A.R. Rahman,Tamil (English Script),"Khannamuchi anada
Khannamuchi anada en kanna

Khannamuchi anada en kanna
Naan khannadip porul polada
Khannamuchi anada en kanna
Naan khannadip porul polada

Andha nadiin karaiys naan gatten
Andak kaurai niruty gatten
Andha nadiin karaiys naan gatten
Andak kaurai niruty gatten

Vaan velys gatten vitaiye illai
Vaan velys gatten vitaiye illai
Irutiil unneck kandaen
Irudaib poovil kandaen
Irutiil unneck kandaen
Irudaib poovil kandaen

Khannamuchi anada en kanna
Naan khannadip porul polada

En manam unakkoru vilyaddu bommaiya
En manam unakkoru vilyaddu bommaiya
Enakkena unarchills taniyak illaiya
Nencin alai urangadhu

Un idhazh kondu wai mutt vaa en kanna
Un idhazh kondu wai mutt vaa en kanna
Un imai kondu vizhi mutt vaa
Un udaltan en udyallava

Bharkatlil adieya pinnum
Un vannam maghavilly innum
Bharkatlil adieya pinnum
Un vannam maghavilly innum
En nenjil gootie nilem maghava
Yennueril ni vandhu cherk udadues iramay vatak
Kalandit vaa

Khannamuchi anada en kanna
Naan khannadip porul polada

Vanmani villumbodhu malakondu katthai
Vanmani villumbodhu malakondu katthai
Ganmanai villumbodhu edlenneck kaffai
Poowin khannirai rasipai

Naan enna pannillaiya en kanna
Adhai nee kanak khannillaiya
Un ganavugalil nanillaiya

Dinam uchaladuten manasu
Ada umaiyall en kolusu
En ul moocchile uyir vingude
Yennuir tujhikamale kappadu un dindale
Uyir thara vaa

Khannamuchi anada en kanna
Naan khannadip porul polada"
"Kandukondain Kandukondian (From ""Kandukondain Kandukondain"")",Kandukondain Kandukondain,A.R. Rahman,Tamil (English Script),"kaNdukoNdaen kaNdukoNdaen kaadhal mugam kaNdukoNdaen

kaNdukoNdaen kaNdukoNdaen kaadhal mugam kaNdukoNdaen
viral thodum dhooraththilae veNNilavu kandukondaen
veNNilaa veLichcham kiNNaththil vizhundhu niRaindhaal vazhindhaal magizhchchi
veNNilaa veLichcham kiNNaththai udaiththaal uyirai udaippaaL oruththi
en kaN paarththadhu en kai saerumoa
kai saeraamalae kaNNeer saerumoa
kaNdukoNdaen kaNdukoNdaen kaadhal mugam kaNdukoNdaen

malarmanjam vizhi kenjum manam anjumallavaa
uyir minjum ivaL nenjam un thanjamallavaa
un thanimaik kadhavin thaaL neekkavaa
kaNdukoNdaen kaNdukoNdaen kaadhal mugam kaNdukoNdaen

maegam thiRandhaal adhaRkuL un mugam paarkkiRaen
pookkaL thiRandhaal adhaRkuL un kural kaetkiRaen
kaNgaLaith thiRandhun kanavugaL vaLarkkum
kaadhalin viralgaL kallaiyum thiRakkum
unnaith thaediyae ini enadhu payaNamoa
endhan saalaigaL un veettil mudiyumoa
ae kanavu mangaiyae unadhu manadhu enadhu manadhil iNaiyumoa
kaNdukoNdaen kaNdukoNdaen kaadhal mugam kaNdukoNdaen
viral thodum dhooraththilae veNNilavu kandukondaen

aa...
nadhiyin thaedal kadaisiyil kadal kaaNbadhu
uyirin thaedal kadaisiyil unaikkaaNbadhu
kadal konda nadhiyoa mugam thanai izhakkum
naan unnil kalandhaal pudhu mugam kidaikkum
natchaththirangaLai oru naaril kattuvaen
endha naeramum un kadhavu thattuvaen
ae kaadhal dhaevanae enadhu imaiyil unadhu vizhigaL mooduvaen
kaNdukoNdaen kaNdukoNdaen... kaNdukoNdaen kaNdukoNdaen
kaadhal mugam kaNdukoNdaen... kaadhal mugam kaNdukoNdaen
viral thodum dhooraththilae... viral thodum dhooraththilae
veNNilavu kandukondaen... kaNdukoNdaen kaNdukoNdaen... kaadhal mugam kaNdukondaen"
Kannamoochchi (Duet Version),Kandukondain Kandukondain,A.R. Rahman,Tamil (English Script),"Khannamuchi anada
Khannamuchi anada en kanna

Khannamuchi anada en kanna
Naan khannadip porul polada
Khannamuchi anada en kanna
Naan khannadip porul polada

Andha nadiin karaiys naan gatten
Andak kaurai niruty gatten
Andha nadiin karaiys naan gatten
Andak kaurai niruty gatten

Vaan velys gatten vitaiye illai
Vaan velys gatten vitaiye illai
Irutiil unneck kandaen
Irudaib poovil kandaen
Irutiil unneck kandaen
Irudaib poovil kandaen

Khannamuchi anada en kanna
Naan khannadip porul polada

En manam unakkoru vilyaddu bommaiya
En manam unakkoru vilyaddu bommaiya
Enakkena unarchills taniyak illaiya
Nencin alai urangadhu

Un idhazh kondu wai mutt vaa en kanna
Un idhazh kondu wai mutt vaa en kanna
Un imai kondu vizhi mutt vaa
Un udaltan en udyallava

Bharkatlil adieya pinnum
Un vannam maghavilly innum
Bharkatlil adieya pinnum
Un vannam maghavilly innum
En nenjil gootie nilem maghava
Yennueril ni vandhu cherk udadues iramay vatak
Kalandit vaa

Khannamuchi anada en kanna
Naan khannadip porul polada

Vanmani villumbodhu malakondu katthai
Vanmani villumbodhu malakondu katthai
Ganmanai villumbodhu edlenneck kaffai
Poowin khannirai rasipai

Naan enna pannillaiya en kanna
Adhai nee kanak khannillaiya
Un ganavugalil nanillaiya

Dinam uchaladuten manasu
Ada umaiyall en kolusu
En ul moocchile uyir vingude
Yennuir tujhikamale kappadu un dindale
Uyir thara vaa

Khannamuchi anada en kanna
Naan khannadip porul polada"
Kadhile Nadhiche Water,Rhythm,A.R. Rahman,Tamil (English Script),"Dheem tanana dheem tanana
Dheem tanana dheem tanana
Dheem tanana dheem tanana

Kadile nadiche kanya nadhile neevu malinive
Arey neevu malinive
Okata renda kadhale ennenno neeke Cheputhale
Nee gaadhe cheputhale

Dheem tanana dheem tanana
Dheem tanana dheem tanana
Dheem tanana dheem tanana

Nadiche nadhivo egase alavo neelo Kalalennenno
Javvana ramani manuvuna gruhuni mathavu Thyagamlo
Chiru nadakale nadichina galagale
Thala thala nuragale nuragala sakhi Mukhame
Chiru nadakale nadichina galagale
Thala thala nuragale nuragala sakhi Mukhame

Oka sooridu podichenu padharu cheli paadu
Jil jil jil anna sruthulake
Gangammalu yamunammalu krushnammalu Pongenata
Jal jal jal anna jathulaki
Oka sooridu podichenu padharu cheli paadu
Jil jil jil anna sruthulake
Gangammalu yamunammalu krushnammalu Pongenata
Jal jal jal anna jathulaki

Niccheli karuvai vagape maalini karuvai manuve
Neere karuvai gadipe korikale
Bidiyam vasthe binkam velle thakithe moham
Neere maguvai ollo valenule
Thallana kadalilo perigina oho
Kanneeti kadalilo mugusina oho

Thallana kadalilo perigina oho
Kanneeti kadalilo mugusina oho

Dheem tanana dheem tanana
Dheem tanana dheem tanana
Dheem tanana dheem tanana

Vannenllunna pilla ponge rasa nadhila
Vayyaram chilikenule ponge valapulu chusale
Paatatho paitalu enduvalla chaatulu
Nadhulaku guname adhi na cheli guname
Chiru nadakale nadichina galagale
Thala thala nuragale nuragala sakhi mukhame
Chiru nadakale nadichina galagale
Thala thala nuragale nuragala sakhi mukhame
Oka sooridu podichenu padharu cheli paadu
Jil jil jil anna sruthulake
Gangammalu yamunammalu krushnammalu Pongenata
Jal jal jal anna jathulaki

Dheem tanana dheem tanana
Dheem tanana dheem tanana
Dheem tanana dheem tanana

Narinja saaralu ppothene theeralu Podhugullo pareru meere
Thalladige chinnari thanavadi vayari Chinnari ki thallaina maguve
Poonelala koyilalu ruthulathoti shruthulu Marchunammo
Ee vayasu aa varadha padda adhupu karigi poovulammo
Kadile nadiche kanya nadhile neevu malinive
Arey neevu malinive
Okata renda kadhale ennenno neeke Cheputhale
Nee gaadhe cheputhale
Dheem tanana dheem tanana
Dheem tanana dheem tanana
Dheem tanana dheem tanana"
"Nadhiyae - From ""Rhythm""",Rhythm,A.R. Rahman,Tamil (English Script),"Theemthananaa theemthananaa Theemthananaa theemthananaa
Theemthananaa theemthananaa thiranaa
Theemthananaa theemthananaa Theemthananaa theemthananaa
Theemthananaa theemthananaa thiranaa

Nathiyae nathiyae kaathal nathiyae neeyum Penthaane
Adi neeyum penthaane
Onraa irandaa kaaranam nooru kaetaal Solvaene
Nee kaetaal solvaene

Theemthananaa theemthananaa Theemthananaa theemthananaa
Theemthananaa theemthananaa thiranaa
Theemthananaa theemthananaa Theemthananaa theemthananaa
Theemthananaa theemthananaa thiranaa

Nadanthaal aaru ezhunthaal aruvi ninraal Kadalalloa
Samainthaal Kumari Mananthaal Manaivi Petraal Thaayalloa
Siru Nathigalae Nathiyidum Karaigalae Karaithodum Nuraigalae Nuraigalil Ival Mugamae (2)

Thinam Moathum Karai Thoarum Ada Aarum Isai Paadum
Jil Jil Jil Enra Šruthiyilae

Gangai Varum Yamunai Varum Vaigai Varum Pørunai Varum
Jal Jal Jal Ènra Nadaiyilae

Thinam Møathum Karai Thøarum Ada Aarum Isai Paadum
Jil Jil Jil Ènra Šruthiyilae
Gangai Varum Yamunai Varum Vaigai Varum Pørunai Varum
Jal Jal Jal Ènra Nadaiyilae

Kaathali Arumai Pirivil Manaiviyin Arumai Maraivil
Neerin Arumai Arivaai Køadaiyilae
Vetkam Vanthaal Uraiyum Viralgal Thøttaal Urugum
Neerum Pennum Onru Vaadaiyilae
Thanneer Kudathil Pirakirøam Oahøa Thanneer Karaiyil Mudikirøam Oahøa (2)

Vanna Vanna Penne Vatamidum Nathiyae Valaivugal Azhagu
Ungal Valaivugal Azhagu
Høah Mellisaigal Padithal Maedu Pallam Maraithal Nathigalin Gunamae
Athu Nangaiyin Gunamae
Širu Nathigalae Nathiyidum Karaigalae Karaithødum Nuraigalae Nuraigalil Ival Mugamae (2)

Thinam Møathum Karai Thøarum Ada Aarum Isai Paadum
Gangai Varum Yamunai Varum Vaigai Varum Pørunai Varum

(Theemthananaa Theemthananaa.)

Thaenkaniyil Šaaraagi Pøøkalilae Thaenaagi Pasuvinilae Paalaagum Neerae
Thaayarugae Šaeyaagi Thalaivanidam Paayaagi Šaeyarugae Thaayaagum Penne
Pøønguyilae Pøønguyilae Pennum Aarum Vadivam Maarakkøødum
Neer Ninaithaal Pen Ninaithaal Karaigal Yaavum Karainthu Pøaga Køødum

Nathiyae Nathiyae Kaathal Nathiyae Neeyum Penthaane
Adi Neeyum Penthaane
Onraa Irandaa Kaaranam Nøøru Kaetaal Šølvaene
Nee Kaetaal Šølvaene

(Theemthananaa Theemthananaa.)"
"Nadhiyae (From ""Rhythm"")",Rhythm,A.R. Rahman,Tamil (English Script),"Theemthananaa theemthananaa Theemthananaa theemthananaa
Theemthananaa theemthananaa thiranaa
Theemthananaa theemthananaa Theemthananaa theemthananaa
Theemthananaa theemthananaa thiranaa

Nathiyae nathiyae kaathal nathiyae neeyum Penthaane
Adi neeyum penthaane
Onraa irandaa kaaranam nooru kaetaal Solvaene
Nee kaetaal solvaene

Theemthananaa theemthananaa Theemthananaa theemthananaa
Theemthananaa theemthananaa thiranaa
Theemthananaa theemthananaa Theemthananaa theemthananaa
Theemthananaa theemthananaa thiranaa

Nadanthaal aaru ezhunthaal aruvi ninraal Kadalalloa
Samainthaal Kumari Mananthaal Manaivi Petraal Thaayalloa
Siru Nathigalae Nathiyidum Karaigalae Karaithodum Nuraigalae Nuraigalil Ival Mugamae (2)

Thinam Moathum Karai Thoarum Ada Aarum Isai Paadum
Jil Jil Jil Enra Šruthiyilae

Gangai Varum Yamunai Varum Vaigai Varum Pørunai Varum
Jal Jal Jal Ènra Nadaiyilae

Thinam Møathum Karai Thøarum Ada Aarum Isai Paadum
Jil Jil Jil Ènra Šruthiyilae
Gangai Varum Yamunai Varum Vaigai Varum Pørunai Varum
Jal Jal Jal Ènra Nadaiyilae

Kaathali Arumai Pirivil Manaiviyin Arumai Maraivil
Neerin Arumai Arivaai Køadaiyilae
Vetkam Vanthaal Uraiyum Viralgal Thøttaal Urugum
Neerum Pennum Onru Vaadaiyilae
Thanneer Kudathil Pirakirøam Oahøa Thanneer Karaiyil Mudikirøam Oahøa (2)

Vanna Vanna Penne Vatamidum Nathiyae Valaivugal Azhagu
Ungal Valaivugal Azhagu
Høah Mellisaigal Padithal Maedu Pallam Maraithal Nathigalin Gunamae
Athu Nangaiyin Gunamae
Širu Nathigalae Nathiyidum Karaigalae Karaithødum Nuraigalae Nuraigalil Ival Mugamae (2)

Thinam Møathum Karai Thøarum Ada Aarum Isai Paadum
Gangai Varum Yamunai Varum Vaigai Varum Pørunai Varum

(Theemthananaa Theemthananaa.)

Thaenkaniyil Šaaraagi Pøøkalilae Thaenaagi Pasuvinilae Paalaagum Neerae
Thaayarugae Šaeyaagi Thalaivanidam Paayaagi Šaeyarugae Thaayaagum Penne
Pøønguyilae Pøønguyilae Pennum Aarum Vadivam Maarakkøødum
Neer Ninaithaal Pen Ninaithaal Karaigal Yaavum Karainthu Pøaga Køødum

Nathiyae Nathiyae Kaathal Nathiyae Neeyum Penthaane
Adi Neeyum Penthaane
Onraa Irandaa Kaaranam Nøøru Kaetaal Šølvaene
Nee Kaetaal Šølvaene

(Theemthananaa Theemthananaa.)"
Thom Karuvil Irundom,Star,A.R. Rahman,Tamil (English Script),"Thom karuvil irundom,
Kavalai inchesi ganmudy kitandom,
Thom dharaiil villundom,
Visunduudan gan dookkum dolaindom.

Apbodhu apbodhu bona dookkum en gankalile,
Apodhu apodhu vandhu serum vitai donalaiye

Thom karuvil irundom,
Kavalai inchesi ganmudy kitandom,
Thom dharaiil villundom,
Visunduudan gan dookkum dolaindom.

Karuvil irundom,
Kavalai inchesi ganmudy kitandom,

Apbodhu apbodhu bona dookkum nam gankalile,
Apodhu apodhu vandhu serum vitai donalaiye
Tanniril watakinheen naan kooda machavataram thaan

Thom karuvil irundom,
Kavalai inchesi ganmudy kitandom,

Alaikan alaikan fiditu kondu
Karaikass adaindavan yarumill
Thanimayil thanimayil davittu kondu
Saukium adaivatu gyayamill
Kavaliku marundhu ind raja thravam
Khannir kooda potin madhuvativam
Vali edhu vataka edhu vihangvilly
Vattatuku dotakkum mudiumill
Kail goppai illai endal,
Karupns varaivatu ninditup
Canavues mattum illai endal,
Kavalis nam uyirai dinda vidum

Thom karuvil irundom,
Kavalai inchesi ganmudy kitandom,
Thom dharaiil villundom,
Visunduudan gan dookkum dolaindom.
Apbodhu apbodhu bona dookkum nam gankalile,
Apodhu apodhu vandhu serum vitai donalaiye

Jananam enbadhu oru karaidan
Maranam enbadhu maru karai thaan
Irndukkum naduveyodutu
Dalaividhi ennum oru nadhi thaan
Vallcain fitimanam adhumill
Ind kinnum thaane fitimanam veruill
Dhiratshai dinbhavan putisalia?
Packrasam gudippavan kukeewaliya?
Pennukul dodangum vaazhkai idhu
Mannukul mutikitte
Vishayam therindum manit inam
Vinnukkum mannukkum pangirate
Thom karuvil irundom,
Kavalai inchesi ganmudy kitandom,
Thom dharaiil villundom,
Visunduudan gan dookkum dolaindom.

Apbodhu apbodhu bona dookkum
En gankalile, apodhu apodhu vandhu serum
Vitai donalaiye"
Nenthukitten,Star,A.R. Rahman,Tamil (English Script),"Adi nendkitane nendkitane
Nei viluku ativachu
Unnot kannathl muttham kodukk
Netikaton teergalena
Kochhukkume saami ellaam
Bakkatil nee vaadi alli kodukk
Poona pola
Vittu kull vandhu viduan
Bunnaqiil nee sindhum pal gutipane
Vandidate sattham boattu gattipuduan
Kannatthile telpol kotividuan
Rocha poo iduppule
Vandu pola sutti vandhu sutti vandhu
Dena edupane

Uru sanam attanes gooty vandhu
Unnuday kallad tanam gattipuduan
Aasa tosai
Hey hey hey hey hey
Nee pechum bhashaiye

Puriyaliyae hey hey

Aasa tosai
Hey hey hey hey hey

Nee pechum bhashaiye
Puriyaliyae hey hey

Veppam dhanippatangu vounchirukkum

Velkariye velkariye
Kaluddu valawil enna chariavittu
Talluriye talluriye talluriye

Kaadhal potil
Un kail matigittu mujhikwene
Ippo mama
Pannu ilumanch fulium palam pola
Ulukk parkade aama
Saaral atickuddi
Adi unnaawk suku banam pola
Kitta nee vaadi
Konjam kulir kaye venum
Aasa tosai
Hey hey hey hey hey
Nee pechum bhashaiye
Puriyaliyae hey hey
Aasa tosai
Hey hey hey hey hey
Nee pechum bhashaiye
Puriyaliyae hey hey

Koondhal anaiviil sarivukalil
Kodudadi kodudadi
Kannam kufiil manam parichal pol
Suddudadi suddudadi suddudadi
Kurumbu pechale koku dal mela
Venn wekkad mama
Mooku sevkkad mundrifaalm enna
Naakku sevkk veiglama
Ilum pasikuddi
Ruchi kaatti puttu el boattu puttu
Thanni telichi puttu
Kaakka vaikrie yen ma
Adi nendkitane nendkitane
Nei viluku ativachu
Unnot kannathl muttham kodukk
Netikaton teergalena
Kochhukkume saami ellaam
Bakkatil nee vaadi alli kodukk
Poona pola vittu kull vandhu viduan
Bunnaqiil nee sindhum pal gutipane
Vandidate sattham boattu gattipuduan
Kannatthile telpol kotividuan
Rocha poo iduppule
Vandu pola sutti vandhu
Sutti vandhu dena edupane
Uru sanam attanes gooty vandhu
Unnuday kallad tanam gattipuduan
Aasa tosai
Hey hey hey hey hey
Nee pechum bhashaiye
Puriyaliyae hey hey"
Sun Ri Sakhi,Star,A.R. Rahman,Tamil (English Script),"Sun ri sakhi, meri pyaari sakhi, ye dil kahin khoyaa hai meraa
Jaane kahaaN ise bhool gayaa, nahin kuchh bhi hai mujhko pataa
Teri paayal mein maine DhooNDh liyaa, tere qadmoN tale sajni
Pyaar kiyaa to jaan gayaa, ye mushkil hai kitni
Meri saaNsoN mein teraa pyaar basaa, aaNkhoN mein tumhi sajni
Sun ri sakhi, meri pyaari sakhi, ye dil kahin khoyaa hai meraa

(HuN huN huN) -2
Ha: kaise tujhe izhaar karooN main haalat is dil ki
Tan mein man mein is dhaDkan mein ho rahi halchal si
Dekhe binaa tujhe lagti hai, ik yug si ek ghaDi
Sab nazren jo dekh rahi, mere dil mein dahshat si
Ye svarg hai yaa nark hai, mujhko hosh nahin
Meri zindagi aur maut hai, ab haath mein tere hi.
Sun ri sakhi, meri pyaari sakhi, ye dil kahin khoyaa hai meraa
(HuN huN huN huN huN huN, huN) -3

Ha: koyaliyaa tu kah de to tujhe geet sunaaooN main
NaagmaNi teri naagin si zulfoN ko sanvaarooN main
Chandramukhi tujhe neend nahin to lori sunaaooN main
ThanDi havaa nahin lag jaaye, tujhe chunaRi uDhaooN main
Mere pyaar ki jo baat hai, kaanoN mein bataaooN main
Tere qadmoN ke jo nishaan hai, yaadoN mein basaaooN main
Sun ri sakhi, meri pyaari..."
